TIME,LATITUDE,LONGITUDE,RAINFALL
01-01-2015,23.5,92.75,0.24846743
01-01-2015,23.5,93,0.391049623
01-01-2015,23.5,93.25,0.392758608
01-01-2015,23.75,92.75,0
01-01-2015,23.75,93,0
01-01-2015,23.75,93.25,0
01-01-2015,24,92.75,0
01-01-2015,24,93,0
01-01-2015,24,93.25,0
01-01-2015,24.25,92.75,0
01-01-2015,24.25,93,0
01-01-2015,24.25,93.25,0
01-01-2015,24.5,92.75,0
01-01-2015,24.5,93,0
01-01-2015,24.5,93.25,0
01-01-2015,24.75,92.75,0
01-01-2015,24.75,93,0
01-01-2015,24.75,93.25,0
01-01-2015,25,92.75,1.992275834
01-01-2015,25,93,1.056910872
01-01-2015,25,93.25,0.277471334
01-01-2015,25.25,92.75,2.434578657
01-01-2015,25.25,93,1.388268948
01-01-2015,25.25,93.25,0.7908234
01-01-2015,25.5,92.75,0.727466166
01-01-2015,25.5,93,0.949144304
01-01-2015,25.5,93.25,0.459403396
01-01-2015,25.75,92.75,0
01-01-2015,25.75,93,0
01-01-2015,25.75,93.25,0
02-01-2015,23.5,92.75,0
02-01-2015,23.5,93,0
02-01-2015,23.5,93.25,0
02-01-2015,23.75,92.75,0
02-01-2015,23.75,93,0
02-01-2015,23.75,93.25,0
02-01-2015,24,92.75,0
02-01-2015,24,93,0
02-01-2015,24,93.25,0
02-01-2015,24.25,92.75,0
02-01-2015,24.25,93,0
02-01-2015,24.25,93.25,0
02-01-2015,24.5,92.75,0
02-01-2015,24.5,93,0
02-01-2015,24.5,93.25,0
02-01-2015,24.75,92.75,0
02-01-2015,24.75,93,0
02-01-2015,24.75,93.25,0
02-01-2015,25,92.75,0
02-01-2015,25,93,0
02-01-2015,25,93.25,0
02-01-2015,25.25,92.75,0
02-01-2015,25.25,93,0
02-01-2015,25.25,93.25,0
02-01-2015,25.5,92.75,0
02-01-2015,25.5,93,0
02-01-2015,25.5,93.25,0
02-01-2015,25.75,92.75,0
02-01-2015,25.75,93,0
02-01-2015,25.75,93.25,0
03-01-2015,23.5,92.75,0
03-01-2015,23.5,93,0
03-01-2015,23.5,93.25,0
03-01-2015,23.75,92.75,0
03-01-2015,23.75,93,0
03-01-2015,23.75,93.25,0
03-01-2015,24,92.75,0
03-01-2015,24,93,0
03-01-2015,24,93.25,0
03-01-2015,24.25,92.75,0
03-01-2015,24.25,93,0
03-01-2015,24.25,93.25,0
03-01-2015,24.5,92.75,0
03-01-2015,24.5,93,0
03-01-2015,24.5,93.25,0
03-01-2015,24.75,92.75,0
03-01-2015,24.75,93,0
03-01-2015,24.75,93.25,0
03-01-2015,25,92.75,0
03-01-2015,25,93,0
03-01-2015,25,93.25,0
03-01-2015,25.25,92.75,0
03-01-2015,25.25,93,0
03-01-2015,25.25,93.25,0
03-01-2015,25.5,92.75,0
03-01-2015,25.5,93,0
03-01-2015,25.5,93.25,0
03-01-2015,25.75,92.75,0
03-01-2015,25.75,93,0
03-01-2015,25.75,93.25,0
04-01-2015,23.5,92.75,0
04-01-2015,23.5,93,0
04-01-2015,23.5,93.25,0
04-01-2015,23.75,92.75,0
04-01-2015,23.75,93,0.171286166
04-01-2015,23.75,93.25,0.219300672
04-01-2015,24,92.75,0.273289144
04-01-2015,24,93,0.44255048
04-01-2015,24,93.25,0.483335346
04-01-2015,24.25,92.75,0.59098202
04-01-2015,24.25,93,0.729994476
04-01-2015,24.25,93.25,0.403447241
04-01-2015,24.5,92.75,0.963821709
04-01-2015,24.5,93,0.757480145
04-01-2015,24.5,93.25,0.255938441
04-01-2015,24.75,92.75,1.351854324
04-01-2015,24.75,93,0.775213838
04-01-2015,24.75,93.25,0.128844053
04-01-2015,25,92.75,0.291506141
04-01-2015,25,93,0.484411538
04-01-2015,25,93.25,0.197605759
04-01-2015,25.25,92.75,0
04-01-2015,25.25,93,0.189514562
04-01-2015,25.25,93.25,0
04-01-2015,25.5,92.75,0.416643649
04-01-2015,25.5,93,0.145753607
04-01-2015,25.5,93.25,0
04-01-2015,25.75,92.75,0
04-01-2015,25.75,93,0.172431663
04-01-2015,25.75,93.25,0
05-01-2015,23.5,92.75,7.647049427
05-01-2015,23.5,93,7.635982037
05-01-2015,23.5,93.25,7.930451393
05-01-2015,23.75,92.75,6.892782211
05-01-2015,23.75,93,6.244131088
05-01-2015,23.75,93.25,9.346072197
05-01-2015,24,92.75,4.889884472
05-01-2015,24,93,3.452792406
05-01-2015,24,93.25,12.58271599
05-01-2015,24.25,92.75,1.35809803
05-01-2015,24.25,93,1.538189054
05-01-2015,24.25,93.25,15.88497829
05-01-2015,24.5,92.75,1.183546662
05-01-2015,24.5,93,4.239357471
05-01-2015,24.5,93.25,19.73179817
05-01-2015,24.75,92.75,1.773653507
05-01-2015,24.75,93,4.177671909
05-01-2015,24.75,93.25,22.86487961
05-01-2015,25,92.75,7.711003304
05-01-2015,25,93,8.000556946
05-01-2015,25,93.25,20.99558449
05-01-2015,25.25,92.75,9.254607201
05-01-2015,25.25,93,7.636231422
05-01-2015,25.25,93.25,21.13423729
05-01-2015,25.5,92.75,6.658345699
05-01-2015,25.5,93,10.65825081
05-01-2015,25.5,93.25,20.7702446
05-01-2015,25.75,92.75,6.764933586
05-01-2015,25.75,93,11.63079166
05-01-2015,25.75,93.25,21.78858566
06-01-2015,23.5,92.75,0
06-01-2015,23.5,93,0
06-01-2015,23.5,93.25,0
06-01-2015,23.75,92.75,0
06-01-2015,23.75,93,0
06-01-2015,23.75,93.25,0
06-01-2015,24,92.75,0
06-01-2015,24,93,0
06-01-2015,24,93.25,0
